event_id,log_template,entity_node_id,action_node_id,status_node_id,is_anomaly,is_anomaly_reason
3,PacketResponder <*> for block blk_<*> <*>,blk_4,none_22,none_31,True,"The log message indicates an exception occurred while writing a block to a mirror, which is not a normal execution process."
22,Exception in receiveBlock for block blk_<*> java.io.IOException: Connection reset by peer,blk_4,timed out_7,exception_8,True,The log message indicates an exception of InterruptedIOException which suggests an abnormal execution process
4,Received block blk_<*> of size <*> from /<*>,blk_4,writing_23,none_32,True,"The log message indicates an exception occurred in the PacketResponder process, which is not normal behavior."
19,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for blk_<*> on <*>:50010 size <*>,blk_4,timed out_7,redundant_9,True,"The log message indicates a SocketTimeoutException, which is an abnormal condition indicating a timeout while waiting for a channel to be ready for read."
18,BLOCK* NameSystem.addStoredBlock: addStoredBlock request received for blk_<*> on <*>:50010 size <*> But it does not belong to any file.,blk_4,receive_21,error_30,True,"The log message indicates an InterruptedIOException which suggests a problem with IO operations, likely due to a timeout or interruption."
6,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:50010,blk_4,delete_24,invalid_34,True,"The log message indicates an exception being received during the writeBlock operation, which is abnormal behavior."
16,writeBlock blk_<*> received exception java.io.IOException: Could not read from stream,blk_4,writing_23,exception_33,True,"The log message indicates an exception due to a socket timeout while waiting for a channel to be ready, which is not a normal execution process."
9,<*>:50010:Got exception while serving blk_<*> to /<*>:,blk_4,transfer_13,exception_21,True,"The log message indicates an IOException due to connection reset by peer, which is an abnormal execution process."
10,Verification succeeded for blk_<*>,blk_4,verification_25,successful_35,True,Adding an already existing block is not a normal execution process and indicates a potential issue or error.
14,<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010,block_5,transferring_26,none_36,True,"The log message indicates an exception being thrown during a write operation, which is abnormal behavior."
12,<*>:50010:Transmitted block blk_<*> to /<*>:50010,block blk_6,transmitted_27,none_37,True,Failed to transfer block due to java.io.IOException: Connection reset by peer
11,Received block blk_<*> src: <*> dest: /<*>:50010 of size <*>,block blk_6,receiving_28,none_38,True,The log message indicates an interrupted IO exception which is an abnormal execution process.
36,Adding an already existing block blk_<*>,block blk_6,writing_29,already existing_41,True,"The log message indicates an exception java.io.IOException: Broken pipe, which suggests an abnormal execution process."
15,Unexpected error trying to delete block blk_<*>. BlockInfo not found in volumeMap.,block blk_6,deleting_30,error_42,True,"The log message indicates an InterruptedIOException, which suggests an abnormal execution process due to interruption while waiting for IO on a channel."
17,Receiving empty packet for block blk_<*>,block blk_6,receive_31,empty_43,True,"The log message indicates a SocketTimeoutException which suggests a timeout while waiting for a channel to be ready for write, which is abnormal behavior."
21,"<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010, <*>:50010",block blk_6,transferring_32,none_44,False,"The log message indicates a common action of reopening a block, which is a normal execution process."
28,<*>:50010:Exception writing block blk_<*> to mirror <*>:50010,block blk_6,writing_33,exception_45,False,This log message indicates a normal process of removing a block that does not belong to any file.
25,Changing block file offset of block blk_<*> from 0 to <*> meta file offset to <*>,block blk_6,receiving_28,none_39,True,"The log message indicates an exception in receiving a block due to a broken pipe, which is abnormal behavior."
1,Receiving block blk_<*> src: <*> dest: /<*>:50010,block blk_6,receiving_28,none_40,True,"The log message indicates an IOException due to a closed stream, which is abnormal behavior in the execution process."
5,Deleting block blk_<*> file <*><*>,block blk file_7,deleting_34,none_46,True,"The log message indicates an exception related to a NoRouteToHostException, which suggests a network connectivity issue or a problem with the host, indicating abnormal execution process."
